diff_id,language,anchor,synonym,disjoint,kind,bleu_syn,bleu_dis,bleu_delta,rougeL_syn,rougeL_dis,rougeL_delta,chrf_syn,chrf_dis,chrf_delta,meteor_syn,meteor_dis,meteor_delta,bertscore_syn,bertscore_dis,bertscore_delta,entail_syn,entail_dis,entail_delta,signed_syn,signed_dis,signed_delta
20829,cpp,function,method,variable,close_entity,0.3799178428257963,0.3799178428257963,0.0,0.8333333333333334,0.8333333333333334,0.0,0.6811473486024768,0.667629300430861,0.013518048171615837,0.8066666666666668,0.8066666666666668,0.0,0.990511417388916,0.9791564345359802,0.011354982852935791,0.9771685600280762,0.1076897382736206,0.8694788217544556,0.9696169681847095,-0.6458308696746826,1.6154478378593922
21522,cpp,method,function,attribute,close_entity,0.7825422900366438,0.7825422900366438,0.0,0.875,0.875,0.0,0.8266217832755516,0.8265550703277323,6.671294781923631e-05,0.8950617283950617,0.8950617283950617,0.0,0.9920623302459717,0.9866428375244141,0.005419492721557617,0.6971683502197266,0.03442187234759331,0.6627464778721333,0.6258290410041809,-0.46780215576291084,1.0936311967670918
22549,cpp,function,method,variable,close_entity,0.7825422900366432,0.7825422900366432,0.0,0.9166666666666666,0.9166666666666666,0.0,0.8276558903436104,0.8191242267598046,0.00853166358380586,0.9268808114961962,0.9268808114961962,0.0,0.9967248439788818,0.9929547309875488,0.003770112991333008,0.9473536610603333,0.03977080062031746,0.9075828604400158,0.9420295818708837,-0.29819480702281,1.2402243888936937
22549,cpp,tests,checks,configs,infrastructure,0.855526185871245,0.855526185871245,0.0,0.9166666666666666,0.9166666666666666,0.0,0.8856714604260474,0.8798539872903877,0.005817473135659723,0.9268808114961962,0.9268808114961962,0.0,0.9883553981781006,0.9817014336585999,0.006653964519500732,0.9919067621231079,0.11992805451154709,0.8719787076115608,0.9897639227565378,-0.5277996137738228,1.5175635365303606
22838,cpp,warning,alert,error,diagnostic,0.5000000000000001,0.5000000000000001,0.0,0.875,0.875,0.0,0.7604867414966034,0.7562779797066953,0.004208761789908144,0.864795918367347,0.864795918367347,0.0,0.9881402254104614,0.9871423244476318,0.0009979009628295898,0.9969468712806702,0.9821641445159912,0.014782726764678955,0.9964091349975206,0.9796437069308013,0.016765428066719323
22999,cpp,errors,exceptions,warnings,diagnostic,0.8408964152537145,0.8408964152537145,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8295129505380382,0.8084864926194597,0.02102645791857849,0.8737244897959183,0.8737244897959183,0.0,0.9880037307739258,0.98810875415802,-0.00010502338409423828,0.8916722536087036,0.2481873333454132,0.6434849202632904,0.8726563956588507,0.16012778133153915,0.7125286143273115
23647,cpp,input,entry,output,directional,0.9253911813809742,0.9253911813809742,0.0,0.9166666666666666,0.9166666666666666,0.0,0.8968991374312942,0.9070983415930375,-0.010199204161743247,0.9228098290598291,0.9228098290598291,0.0,0.9835439920425415,0.9906538724899292,-0.007109880447387695,0.904226541519165,0.14342886209487915,0.7607976794242859,0.860200896859169,-0.6886129379272461,1.548813834786415
23691,cpp,log,trace,output,infrastructure,0.6434588841607617,0.6434588841607617,0.0,0.8571428571428571,0.8571428571428571,0.0,0.7916191083235903,0.791465317873293,0.00015379045029728644,0.8412698412698414,0.8412698412698414,0.0,0.9843562245368958,0.9797043800354004,0.004651844501495361,0.6311708688735962,0.46563565731048584,0.16553521156311035,0.40360942482948303,0.03368252515792847,0.36992689967155457
24154,cpp,tests,checks,configs,infrastructure,0.82651681837938,0.82651681837938,0.0,0.9090909090909091,0.9090909090909091,0.0,0.8846544048687519,0.878636258411222,0.00601814645752996,0.9139118457300276,0.9139118457300276,0.0,0.9851944446563721,0.9777565598487854,0.00743788480758667,0.9932562112808228,0.03907791152596474,0.954178299754858,0.9916299474425614,-0.876806166023016,1.8684361134655774
24250,cpp,import,include,export,directional,0.4111336169005196,0.4111336169005196,0.0,0.8571428571428571,0.8571428571428571,0.0,0.7875612485327705,0.8742437764883584,-0.08668252795558784,0.8412698412698414,0.7301587301587302,0.11111111111111116,0.9512075185775757,0.9838918447494507,-0.032684326171875,0.8324429988861084,0.014848999679088593,0.8175939992070198,0.7019713371992111,-0.9326337054371834,1.6346050426363945
24670,cpp,log,trace,output,infrastructure,0.5946035575013611,0.5946035575013611,0.0,0.875,0.875,0.0,0.8540470322465807,0.8496976445039782,0.004349387742602517,0.864795918367347,0.864795918367347,0.0,0.9842193722724915,0.9858007431030273,-0.0015813708305358887,0.5525694489479065,0.27983126044273376,0.27273818850517273,0.16658833622932434,-0.25909116864204407,0.4256795048713684
